train_loss,train_acc_step,epoch,step,val_loss,val_acc_epoch,val_f1_epoch,val_auroc_epoch,train_acc_epoch
,,44,5624,0.33135203476110037,0.0,0.0,0.9225223064422607,
,,44,5624,,,,,0.0
0.5065247617870385,0.0,45,5649,,,,,
0.3554145200967125,0.0,45,5699,,,,,
0.31819242166116224,0.0,45,5749,,,,,
,,45,5749,0.32280563373787746,0.0,0.0,0.922797679901123,
,,45,5749,,,,,0.0
0.42873320930954756,0.0,46,5799,,,,,
0.3914585603066708,0.0,46,5849,,,,,
,,46,5874,0.3344230510985223,0.0,0.0,0.9229940176010132,
,,46,5874,,,,,0.0
0.38044439387243,0.0,47,5899,,,,,
0.36916153918390193,0.0,47,5949,,,,,
0.06940200928790569,0.0,47,5999,,,,,
,,47,5999,0.32585093210007166,0.0,0.0,0.9232797622680664,
,,47,5999,,,,,0.0
0.18484276834933155,0.0,48,6049,,,,,
0.20690345551915368,0.0,48,6099,,,,,
,,48,6124,0.33205078047324516,0.0,0.0,0.9235057830810547,
,,48,6124,,,,,0.0
0.47822750006390236,0.0,49,6149,,,,,
0.27862365351894725,0.0,49,6199,,,,,
0.20228500437622166,0.0,49,6249,,,,,
,,49,6249,0.3350360899686933,0.0,0.0,0.9236503839492798,
,,49,6249,,,,,0.0
0.29917960028741825,0.0,50,6299,,,,,
0.28780288860004344,0.0,50,6349,,,,,
,,50,6374,0.321233330273748,0.0,0.0,0.9239242076873779,
,,50,6374,,,,,0.0
0.3224265315027783,0.0,51,6399,,,,,
0.5088051003165099,0.0,51,6449,,,,,
1.067040708244904,0.0,51,6499,,,,,
,,51,6499,0.33237160285075223,0.0,0.0,0.9241273999214172,
,,51,6499,,,,,0.0
0.26829759207917586,0.0,52,6549,,,,,
0.484191023286227,0.0,52,6599,,,,,
,,52,6624,0.3211101366603652,0.0,0.0,0.9243763089179993,
,,52,6624,,,,,0.0
0.23504237196842276,0.0,53,6649,,,,,
0.19788263898951944,0.0,53,6699,,,,,
0.18542048617661822,0.0,53,6749,,,,,
,,53,6749,0.34038537350565734,0.0,0.0,0.9244394302368164,
,,53,6749,,,,,0.0
0.2855019268172934,0.0,54,6799,,,,,
0.2619681013497492,0.0,54,6849,,,,,
,,54,6874,0.3659616203891407,0.0,0.0,0.9243201613426208,
,,54,6874,,,,,0.0
0.07551627797390406,0.0,55,6899,,,,,
0.3582154945677224,0.0,55,6949,,,,,
0.19059311643416707,0.0,55,6999,,,,,
,,55,6999,0.3182394889352313,0.0,0.0,0.9245753288269043,
,,55,6999,,,,,0.0
0.12619758584228613,0.0,56,7049,,,,,
0.2519049960760683,0.0,56,7099,,,,,
,,56,7124,0.3383075191350998,0.0,0.0,0.9246762990951538,
,,56,7124,,,,,0.0
0.32149237373480744,0.0,57,7149,,,,,
0.4908260879819948,0.0,57,7199,,,,,
0.5077066040380527,0.0,57,7249,,,,,
,,57,7249,0.36007170874139216,0.0,0.0,0.9246088266372681,
,,57,7249,,,,,0.0
0.32034750539956486,0.0,58,7299,,,,,
0.2692750590213288,0.0,58,7349,,,,,
,,58,7374,0.3768133804132155,0.0,0.0,0.9244800806045532,
,,58,7374,,,,,0.0
0.5046706908521099,0.0,59,7399,,,,,
0.23950990377603457,0.0,59,7449,,,,,
0.7139549805335763,0.0,59,7499,,,,,
,,59,7499,0.35092254416311935,0.0,0.0,0.924437403678894,
,,59,7499,,,,,0.0
0.2858000905557676,0.0,60,7549,,,,,
0.35713381385760445,0.0,60,7599,,,,,
,,60,7624,0.34829800161560925,0.0,0.0,0.9244677424430847,
,,60,7624,,,,,0.0
0.26169776168159486,0.0,61,7649,,,,,
0.47146477715712354,0.0,61,7699,,,,,
0.11477071976905469,0.0,61,7749,,,,,
,,61,7749,0.3717293466981142,0.0,0.0,0.9243187308311462,
,,61,7749,,,,,0.0
0.23541934252473756,0.0,62,7799,,,,,
0.31986059983197135,0.0,62,7849,,,,,
,,62,7874,0.3406420956671908,0.0,0.0,0.9243818521499634,
,,62,7874,,,,,0.0
0.3548688712685143,0.0,63,7899,,,,,
0.3736348871052294,0.0,63,7949,,,,,
0.7231690568227801,0.0,63,7999,,,,,
,,63,7999,0.353466364560183,0.0,0.0,0.924368143081665,
,,63,7999,,,,,0.0
0.3440740014258655,0.0,64,8049,,,,,
0.5001836274744548,0.0,64,8099,,,,,
,,64,8124,0.3747380791074525,0.0,0.0,0.9242379665374756,
,,64,8124,,,,,0.0
0.340280057390451,0.0,65,8149,,,,,
0.4006310828848748,0.0,65,8199,,,,,
0.143647771245586,0.0,65,8249,,,,,
,,65,8249,0.3239204336613909,0.0,0.0,0.9244186878204346,
,,65,8249,,,,,0.0
0.4750358000886845,0.0,66,8299,,,,,
0.4636051388639904,0.0,66,8349,,,,,
,,66,8374,0.4134787167531332,0.0,0.0,0.924062192440033,
,,66,8374,,,,,0.0
0.5001996757305402,0.0,67,8399,,,,,
0.4290594889296242,0.0,67,8449,,,,,
0.2067136699227216,0.0,67,8499,,,,,
,,67,8499,0.3453375378470146,0.0,0.0,0.9240972995758057,
,,67,8499,,,,,0.0
0.3201434054437504,0.0,68,8549,,,,,
0.56438912373257,0.0,68,8599,,,,,
,,68,8624,0.3322602558217817,0.0,0.0,0.9242764711380005,
,,68,8624,,,,,0.0
0.24879287880883744,0.0,69,8649,,,,,
0.22160622914323344,0.0,69,8699,,,,,
0.112717018918983,0.0,69,8749,,,,,
,,69,8749,0.3840401924449691,0.0,0.0,0.9240644574165344,
,,69,8749,,,,,0.0
0.2983389852298869,0.0,70,8799,,,,,
0.2791065357277913,0.0,70,8849,,,,,
,,70,8874,0.33543059397115416,0.0,0.0,0.9241435527801514,
,,70,8874,,,,,0.0
0.15517646916978373,0.0,71,8899,,,,,
0.4780740755165319,0.0,71,8949,,,,,
0.4737072329482199,0.0,71,8999,,,,,
,,71,8999,0.3882059494376695,0.0,0.0,0.9239331483840942,
,,71,8999,,,,,0.0
0.4362232341687418,0.0,72,9049,,,,,
0.4572138847452857,0.0,72,9099,,,,,
,,72,9124,0.3478156679868479,0.0,0.0,0.923957884311676,
,,72,9124,,,,,0.0
0.6055437899533272,0.0,73,9149,,,,,
0.2664326755252339,0.0,73,9199,,,,,
0.07840812525933356,0.0,73,9249,,,,,
,,73,9249,0.3615202176379499,0.0,0.0,0.9238950610160828,
,,73,9249,,,,,0.0
0.2836629097471015,0.0,74,9299,,,,,
0.1801945634359656,0.0,74,9349,,,,,
,,74,9374,0.38293931646918905,0.0,0.0,0.9237605333328247,
,,74,9374,,,,,0.0
0.2611087112756363,0.0,75,9399,,,,,
0.2834383572877683,0.0,75,9449,,,,,
0.5735766320786269,0.0,75,9499,,,,,
,,75,9499,0.41929047120508933,0.0,0.0,0.9234209060668945,
,,75,9499,,,,,0.0
0.20947244333565607,0.0,76,9549,,,,,
0.14447586744367494,0.0,76,9599,,,,,
,,76,9624,0.39434999833439144,0.0,0.0,0.9231957197189331,
,,76,9624,,,,,0.0
0.34313669450644624,0.0,77,9649,,,,,
0.20067543648139752,0.0,77,9699,,,,,
0.13474060117152495,0.0,77,9749,,,,,
,,77,9749,0.36669494320213064,0.0,0.0,0.9231626987457275,
,,77,9749,,,,,0.0
0.3641019477030944,0.0,78,9799,,,,,
0.29185556977277305,0.0,78,9849,,,,,
,,78,9874,0.3479687059477482,0.0,0.0,0.923250675201416,
,,78,9874,,,,,0.0
0.4383433250675115,0.0,79,9899,,,,,
0.24446631523259665,0.0,79,9949,,,,,
0.4452470270037998,0.0,79,9999,,,,,
,,79,9999,0.3441813069096162,0.0,0.0,0.9233181476593018,
,,79,9999,,,,,0.0
0.2822188658433427,0.0,80,10049,,,,,
0.35445713374101073,0.0,80,10099,,,,,
,,80,10124,0.3645588880170715,0.0,0.0,0.9233202934265137,
,,80,10124,,,,,0.0
0.45945158121638097,0.0,81,10149,,,,,
0.17110847025032325,0.0,81,10199,,,,,
0.20881853451305782,0.0,81,10249,,,,,
,,81,10249,0.3914656045179196,0.0,0.0,0.9231301546096802,
,,81,10249,,,,,0.0
